['citroen', 'sankt-peterburg', 6]
['citroen', 'novosibirsk', 2]
['citroen', 'ekaterinburg', 4]
['citroen', 'kazan', 3]
['citroen', 'nizhniy_novgorod', 3]
['citroen', 'chelyabinsk', 4]
['citroen', 'samara', 3]
['citroen', 'omsk', 1]
['citroen', 'rostov-na-donu', 4]
['citroen', 'ufa', 2]
['citroen', 'krasnoyarsk', 2]
['citroen', 'voronezh', 3]
['citroen', 'perm', 4]
['citroen', 'volgograd', 2]
['datsun', 'moskva', 4]
['datsun', 'sankt-peterburg', 2]
['datsun', 'novosibirsk', 2]
['datsun', 'ekaterinburg', 3]
['datsun', 'kazan', 6]
['datsun', 'nizhniy_novgorod', 2]
['datsun', 'chelyabinsk', 3]
['datsun', 'samara', 4]
['datsun', 'omsk', 2]
['datsun', 'rostov-na-donu', 4]
['datsun', 'ufa', 2]
['datsun', 'krasnoyarsk', 1]
['datsun', 'voronezh', 2]
['datsun', 'perm', 3]
['datsun', 'volgograd', 2]
['fiat', 'moskva', 5]
['fiat', 'sankt-peterburg', 2]
['fiat', 'novosibirsk', 1]
['fiat', 'ekaterinburg', 3]
['fiat', 'kazan', 3]
['fiat', 'nizhniy_novgorod', 2]
['fiat', 'chelyabinsk', 2]
['fiat', 'samara', 2]
['fiat', 'omsk', 1]
['fiat', 'rostov-na-donu', 3]
['fiat', 'ufa', 2]
['fiat', 'krasnoyarsk', 1]
['fiat', 'voronezh', 2]
['fiat', 'perm', 3]
['fiat', 'volgograd', 1]
['land_rover', 'moskva', 33]
['land_rover', 'sankt-peterburg', 9]
['land_rover', 'novosibirsk', 3]
['land_rover', 'ekaterinburg', 7]
['land_rover', 'kazan', 4]
['land_rover', 'nizhniy_novgorod', 3]
['land_rover', 'chelyabinsk', 6]
['land_rover', 'samara', 2]
['land_rover', 'omsk', 2]
['land_rover', 'rostov-na-donu', 5]
['land_rover', 'ufa', 2]
['land_rover', 'krasnoyarsk', 3]
['land_rover', 'voronezh', 2]
['land_rover', 'perm', 6]
['land_rover', 'volgograd', 1]
['mazda', 'moskva', 44]
['mazda', 'sankt-peterburg', 11]
['mazda', 'novosibirsk', 11]
['mazda', 'ekaterinburg', 14]
['mazda', 'kazan', 11]
['mazda', 'nizhniy_novgorod', 6]
['mazda', 'chelyabinsk', 13]
['mazda', 'samara', 6]
['mazda', 'omsk', 4]
['mazda', 'rostov-na-donu', 13]
['mazda', 'ufa', 5]
['mazda', 'krasnoyarsk', 12]
['mazda', 'voronezh', 6]
['mazda', 'perm', 11]
['mazda', 'volgograd', 3]
['mini', 'moskva', 7]
['mini', 'sankt-peterburg', 3]
['mini', 'novosibirsk', 1]
['mini', 'ekaterinburg', 1]
['mini', 'kazan', 1]
['mini', 'nizhniy_novgorod', 1]
['mini', 'chelyabinsk', 1]
['mini', 'samara', 1]
['mini', 'rostov-na-donu', 2]
['mini', 'krasnoyarsk', 1]
['mini', 'voronezh', 1]
['mini', 'perm', 1]
['mini', 'volgograd', 1]
['opel', 'moskva', 49]
['opel', 'sankt-peterburg', 18]
['opel', 'novosibirsk', 5]
['opel', 'ekaterinburg', 15]
['opel', 'kazan', 15]
['opel', 'nizhniy_novgorod', 7]
['opel', 'chelyabinsk', 14]
